,id,price,date_stamp,journal_id
186,8877,2145.0,2016-08-11,1753-2000
187,8878,2145.0,2016-08-11,1749-8546
188,8879,1261.1475594405597,2016-08-11,2057-4967
189,8880,2145.0,2016-08-11,1476-7961
190,8881,2300.0,2016-08-11,2045-7022
191,8882,2145.0,2016-08-11,2055-8260
192,8883,1261.1475594405597,2016-08-11,2056-5909
193,8884,2145.0,2016-08-11,1752-1505
194,8885,2145.0,2016-08-11,2055-7426
195,8886,2145.0,2016-08-11,2054-9040
196,8887,2145.0,2016-08-11,1478-7547
197,8888,2740.0,2016-08-11,1364-8535
198,8889,2220.0,2016-08-11,1758-5996
199,8890,2145.0,2016-08-11,2397-7523
200,8891,2145.0,2016-08-11,1746-1596
201,8892,2145.0,2016-08-11,2054-314X
202,8893,2145.0,2016-08-11,1742-7622
203,8894,2450.0,2016-08-11,2047-783X
204,8895,2145.0,2016-08-11,1861-6909
205,8896,2580.0,2016-08-11,2162-3619
206,8897,1261.1475594405597,2016-08-11,2326-0254
207,8898,2145.0,2016-08-11,2054-7099
208,8899,2450.0,2016-08-11,1755-1536
209,8900,1261.1475594405597,2016-08-11,2397-0642
210,8901,2145.0,2016-08-11,1744-8603
211,8902,2410.0,2016-08-11,1757-4749
212,8903,2145.0,2016-08-11,2053-6844
213,8904,2450.0,2016-08-11,1477-7517
214,8905,2145.0,2016-08-11,1746-160X
215,8906,2145.0,2016-08-11,1477-7525
216,8907,2145.0,2016-08-11,2047-2501
217,8908,2300.0,2016-08-11,1478-4505
218,8909,2145.0,2016-08-11,2059-5166
219,8910,2450.0,2016-08-11,1478-4491
220,8911,2365.0,2016-08-11,1748-5908
221,8912,2145.0,2016-08-11,2049-9957
222,8913,1940.0,2016-08-11,1746-4358
223,8914,2220.0,2016-08-11,1475-9276
224,8915,2580.0,2016-08-11,1479-5868
225,8916,2145.0,2016-08-11,1476-072X
226,8917,2145.0,2016-08-11,1752-4458
227,8918,2145.0,2016-08-11,1687-9856
228,8919,1261.1475594405597,2016-08-11,2056-9920
229,8920,2145.0,2016-08-11,2046-0481
230,8921,1261.1475594405597,2016-08-11,2045-4015
231,8922,2145.0,2016-08-11,1824-7288
232,8923,2410.0,2016-08-11,2051-1426
233,8924,2175.0,2016-08-11,1749-8090
234,8925,2145.0,2016-08-11,1532-429X
235,8926,2145.0,2016-08-11,2054-7072
236,8927,2145.0,2016-08-11,2053-2393
